iter	Passed	Remaining
0	59	58989
1	59	29609
2	59	19814
3	59	14918
4	60	11977
5	60	10016
6	60	8616
7	61	7565
8	61	6747
9	61	6093
10	61	5558
11	62	5111
12	62	4733
13	62	4409
14	62	4127
15	63	3882
16	63	3665
17	63	3473
18	63	3300
19	64	3150
20	64	3008
21	64	2880
22	65	2764
23	65	2656
24	65	2557
25	65	2465
26	66	2381
27	66	2303
28	66	2229
29	66	2164
30	67	2099
31	67	2038
32	67	1981
33	67	1928
34	68	1879
35	68	1831
36	68	1787
37	68	1744
38	69	1704
39	69	1666
40	69	1629
41	69	1595
42	70	1563
43	71	1547
44	71	1517
45	71	1488
46	72	1461
47	72	1435
48	72	1409
49	72	1384
50	73	1361
51	73	1340
52	73	1317
53	74	1296
54	74	1277
55	74	1258
56	74	1239
57	75	1220
58	75	1202
59	75	1185
60	75	1168
61	76	1152
62	76	1137
63	76	1122
64	76	1107
65	77	1093
66	77	1079
67	77	1064
68	77	1051
69	78	1039
70	78	1026
71	78	1015
72	78	1002
73	79	991
74	79	981
75	79	970
76	80	960
77	80	950
78	80	940
79	80	931
80	81	923
81	81	914
82	81	905
83	82	896
84	82	886
85	82	877
86	82	867
87	82	859
88	83	852
89	83	844
90	83	836
91	83	828
92	84	821
93	84	813
94	84	806
95	84	799
96	85	792
97	85	786
98	85	779
99	85	773
100	86	767
101	86	760
102	86	754
103	86	748
104	87	742
105	87	736
106	87	731
107	87	725
108	88	726
109	89	721
110	89	715
111	89	710
112	89	705
113	90	700
114	90	695
115	90	690
116	90	685
117	91	680
118	91	675
119	91	671
120	91	666
121	92	662
122	92	656
123	92	652
124	92	648
125	92	644
126	93	640
127	93	635
128	93	631
129	93	628
130	94	624
131	94	621
132	94	617
133	94	613
134	95	610
135	95	606
136	95	603
137	95	599
138	96	595
139	96	592
140	96	589
141	96	586
142	97	582
143	97	579
144	97	576
145	98	573
146	98	570
147	98	567
148	98	564
149	99	561
150	99	558
151	99	555
152	99	552
153	100	550
154	100	547
155	100	544
156	100	542
157	101	539
158	101	536
159	101	533
160	101	531
161	102	528
162	102	526
163	102	523
164	102	520
165	103	518
166	103	515
167	103	513
168	103	510
169	104	508
170	104	505
171	104	503
172	104	501
173	105	498
174	105	496
175	105	494
176	105	491
177	106	489
178	106	487
179	106	485
180	106	482
181	106	480
182	107	478
183	107	476
184	107	474
185	107	472
186	108	470
187	108	468
188	108	466
189	108	464
190	109	462
191	109	460
192	109	458
193	110	457
194	110	455
195	110	453
196	110	451
197	111	449
198	111	447
199	111	446
200	111	444
201	112	442
202	112	440
203	112	439
204	112	437
205	113	435
206	113	434
207	113	432
208	113	431
209	114	429
210	114	427
211	114	426
212	114	424
213	115	423
214	115	421
215	115	419
216	115	418
217	116	416
218	116	415
219	116	413
220	116	412
221	117	410
222	117	409
223	117	407
224	117	406
225	118	404
226	118	403
227	118	402
228	119	400
229	119	399
230	119	398
231	119	396
232	120	395
233	120	394
234	120	392
235	120	391
236	121	390
237	121	389
238	121	387
239	121	386
240	122	385
241	122	383
242	122	382
243	123	381
244	123	380
245	123	379
246	123	378
247	124	376
248	124	375
249	124	374
250	125	373
251	125	372
252	125	371
253	125	369
254	126	368
255	126	367
256	126	366
257	126	365
258	127	363
259	127	363
260	127	361
261	128	361
262	128	360
263	128	358
264	129	357
265	129	356
266	129	355
267	129	354
268	130	353
269	130	352
270	130	351
271	130	350
272	131	349
273	131	348
274	131	347
275	131	346
276	132	345
277	132	344
278	132	343
279	133	342
280	133	340
281	133	339
282	133	338
283	134	337
284	134	336
285	134	335
286	134	334
287	135	335
288	135	334
289	136	333
290	136	332
291	136	331
292	136	330
293	137	329
294	137	328
295	137	327
296	137	326
297	138	325
298	138	324
299	138	323
300	138	322
301	139	321
302	139	320
303	139	319
304	140	319
305	140	318
306	140	317
307	140	316
308	141	315
309	141	314
310	141	313
311	142	313
312	142	312
313	142	311
314	142	310
315	143	309
316	143	308
317	143	307
318	143	306
319	144	306
320	145	306
321	145	305
322	145	305
323	145	304
324	146	303
325	146	302
326	146	301
327	146	301
328	147	300
329	147	299
330	147	298
331	148	299
332	148	298
333	149	297
334	149	296
335	149	295
336	150	295
337	150	294
338	150	293
339	150	292
340	151	292
341	151	291
342	151	290
343	151	289
344	152	289
345	152	288
346	152	287
347	153	286
348	153	286
349	153	285
350	153	284
351	154	283
352	154	283
353	154	282
354	154	281
355	155	280
356	155	279
357	155	279
358	156	278
359	156	277
360	156	277
361	156	276
362	157	275
363	157	274
364	157	274
365	157	273
366	158	272
367	158	272
368	158	271
369	158	270
370	159	270
371	159	269
372	159	268
373	159	267
374	160	267
375	160	266
376	160	265
377	161	265
378	161	264
379	161	263
380	161	262
381	162	262
382	162	261
383	162	260
384	162	260
385	163	259
386	163	258
387	163	258
388	163	257
389	164	256
390	164	256
391	164	255
392	165	255
393	165	254
394	165	253
395	165	252
396	166	252
397	166	251
398	166	250
399	166	250
400	167	249
401	167	248
402	167	248
403	167	247
404	168	246
405	168	246
406	168	245
407	168	245
408	169	244
409	169	243
410	169	243
411	169	242
412	170	241
413	170	241
414	170	240
415	170	239
416	171	239
417	171	238
418	171	238
419	171	237
420	172	236
421	172	236
422	172	235
423	173	235
424	173	234
425	173	233
426	173	233
427	173	232
428	174	231
429	174	231
430	174	230
431	174	229
432	175	229
433	175	228
434	175	228
435	175	227
436	176	226
437	176	226
438	176	225
439	176	225
440	177	224
441	177	223
442	177	223
443	177	222
444	178	222
445	178	221
446	178	220
447	178	220
448	179	219
449	179	219
450	179	218
451	179	218
452	180	217
453	180	217
454	180	216
455	181	215
456	181	215
457	181	214
458	181	214
459	182	213
460	182	213
461	182	212
462	182	212
463	183	211
464	183	210
465	183	210
466	183	209
467	184	209
468	184	208
469	184	208
470	184	207
471	185	207
472	185	206
473	185	206
474	186	205
475	186	205
476	186	204
477	186	204
478	187	203
479	187	203
480	187	202
481	187	201
482	188	201
483	188	200
484	188	200
485	188	199
486	189	199
487	189	198
488	189	198
489	190	197
490	190	197
491	190	196
492	190	196
493	190	195
494	191	195
495	191	194
496	191	194
497	192	193
498	192	193
499	192	192
500	192	192
501	193	191
502	193	191
503	193	190
504	193	190
505	194	189
506	194	189
507	194	188
508	194	188
509	195	187
510	195	187
511	195	186
512	196	186
513	196	185
514	196	185
515	196	184
516	197	184
517	197	183
518	197	183
519	198	183
520	199	183
521	199	182
522	199	181
523	199	181
524	200	180
525	200	180
526	200	179
527	200	179
528	201	179
529	201	178
530	201	178
531	201	177
532	202	176
533	202	176
534	202	176
535	202	175
536	203	175
537	203	174
538	203	174
539	203	173
540	204	173
541	204	172
542	204	172
543	205	171
544	205	171
545	205	170
546	205	170
547	206	169
548	206	169
549	206	169
550	206	168
551	207	168
552	207	167
553	207	167
554	207	166
555	208	166
556	208	165
557	208	165
558	208	164
559	209	164
560	209	163
561	209	163
562	209	162
563	210	162
564	210	162
565	210	161
566	211	161
567	211	160
568	211	160
569	211	159
570	212	159
571	212	158
572	212	158
573	212	157
574	213	157
575	213	157
576	213	156
577	213	156
578	214	155
579	214	155
580	214	154
581	214	154
582	215	153
583	215	153
584	215	153
585	216	152
586	216	152
587	216	151
588	216	151
589	217	150
590	217	150
591	217	150
592	217	149
593	218	149
594	218	148
595	218	148
596	218	147
597	219	147
598	219	146
599	219	146
600	219	146
601	220	145
602	221	145
603	221	145
604	221	144
605	222	144
606	222	143
607	222	143
608	222	143
609	223	142
610	223	142
611	223	141
612	223	141
613	224	140
614	224	140
615	224	140
616	224	139
617	225	139
618	225	138
619	225	138
620	226	137
621	226	137
622	226	137
623	226	136
624	227	136
625	227	135
626	227	135
627	227	134
628	228	134
629	228	134
630	229	134
631	229	133
632	229	133
633	230	132
634	230	132
635	230	132
636	230	131
637	231	131
638	231	130
639	231	130
640	232	129
641	232	129
642	232	129
643	232	128
644	233	128
645	233	127
646	233	127
647	233	127
648	234	126
649	234	126
650	234	125
651	234	125
652	235	124
653	235	124
654	235	124
655	235	123
656	236	123
657	236	122
658	236	122
659	237	122
660	237	121
661	237	121
662	237	120
663	238	120
664	238	120
665	238	119
666	238	119
667	239	118
668	239	118
669	239	118
670	239	117
671	240	117
672	240	116
673	240	116
674	241	116
675	241	115
676	241	115
677	241	114
678	242	114
679	242	114
680	242	113
681	242	113
682	243	112
683	243	112
684	243	112
685	244	111
686	244	111
687	244	111
688	245	110
689	245	110
690	245	109
691	246	109
692	246	109
693	246	108
694	247	108
695	247	108
696	247	107
697	247	107
698	248	106
699	248	106
700	248	106
701	248	105
702	249	105
703	249	104
704	249	104
705	249	104
706	250	103
707	250	103
708	250	102
709	250	102
710	251	102
711	251	101
712	251	101
713	252	100
714	252	100
715	252	100
716	252	99
717	253	99
718	253	99
719	253	98
720	253	98
721	254	97
722	254	97
723	254	97
724	254	96
725	255	96
726	255	95
727	255	95
728	255	95
729	256	94
730	256	94
731	256	93
732	256	93
733	257	93
734	258	93
735	258	92
736	259	92
737	259	92
738	259	91
739	260	91
740	260	91
741	260	90
742	261	90
743	261	89
744	261	89
745	261	89
746	262	88
747	262	88
748	262	88
749	262	87
750	263	87
751	263	86
752	263	86
753	263	86
754	264	85
755	264	85
756	264	84
757	264	84
758	265	84
759	265	83
760	265	83
761	265	83
762	266	82
763	266	82
764	266	81
765	267	81
766	267	81
767	267	80
768	267	80
769	268	80
770	268	79
771	268	79
772	268	78
773	269	78
774	269	78
775	269	77
776	270	77
777	270	77
778	270	76
779	270	76
780	271	76
781	271	75
782	271	75
783	271	74
784	272	74
785	272	74
786	272	73
787	272	73
788	273	73
789	273	72
790	273	72
791	273	71
792	274	71
793	274	71
794	274	70
795	275	70
796	275	70
797	275	69
798	275	69
799	276	69
800	276	68
801	276	68
802	276	67
803	277	67
804	277	67
805	277	66
806	277	66
807	278	66
808	278	65
809	278	65
810	279	65
811	279	64
812	279	64
813	279	63
814	280	63
815	280	63
816	280	62
817	280	62
818	281	62
819	281	61
820	281	61
821	282	61
822	282	60
823	282	60
824	282	60
825	283	59
826	283	59
827	283	58
828	284	58
829	284	58
830	284	57
831	284	57
832	285	57
833	285	56
834	285	56
835	285	56
836	286	55
837	286	55
838	286	55
839	287	54
840	287	54
841	287	53
842	287	53
843	288	53
844	288	52
845	288	52
846	288	52
847	289	51
848	289	51
849	289	51
850	289	50
851	290	50
852	290	50
853	290	49
854	290	49
855	291	48
856	291	48
857	291	48
858	291	47
859	292	47
860	292	47
861	292	46
862	293	46
863	293	46
864	293	45
865	293	45
866	294	45
867	294	44
868	294	44
869	294	44
870	295	43
871	295	43
872	295	43
873	295	42
874	296	42
875	296	41
876	296	41
877	296	41
878	297	40
879	297	40
880	297	40
881	297	39
882	298	39
883	298	39
884	298	38
885	299	38
886	299	38
887	299	37
888	299	37
889	300	37
890	300	36
891	300	36
892	300	36
893	301	35
894	301	35
895	301	35
896	301	34
897	302	34
898	302	33
899	302	33
900	302	33
901	303	32
902	303	32
903	303	32
904	303	31
905	304	31
906	304	31
907	304	30
908	305	30
909	305	30
910	306	29
911	306	29
912	306	29
913	307	28
914	307	28
915	307	28
916	308	27
917	308	27
918	309	27
919	309	26
920	309	26
921	309	26
922	310	25
923	310	25
924	310	25
925	311	24
926	311	24
927	311	24
928	311	23
929	312	23
930	312	23
931	312	22
932	312	22
933	313	22
934	313	21
935	313	21
936	313	21
937	314	20
938	314	20
939	314	20
940	314	19
941	315	19
942	315	19
943	315	18
944	316	18
945	316	18
946	316	17
947	316	17
948	317	17
949	317	16
950	317	16
951	318	16
952	318	15
953	318	15
954	318	15
955	319	14
956	319	14
957	319	14
958	319	13
959	320	13
960	320	12
961	320	12
962	320	12
963	321	11
964	321	11
965	321	11
966	321	10
967	322	10
968	322	10
969	322	9
970	322	9
971	323	9
972	323	8
973	323	8
974	324	8
975	324	7
976	324	7
977	325	7
978	325	6
979	325	6
980	325	6
981	326	5
982	326	5
983	326	5
984	327	4
985	327	4
986	327	4
987	327	3
988	328	3
989	328	3
990	328	2
991	328	2
992	329	2
993	329	1
994	329	1
995	329	1
996	330	0
997	330	0
998	330	0
999	330	0
