iter	Passed	Remaining
0	58	58699
1	59	29504
2	59	19781
3	59	14897
4	60	11952
5	60	9999
6	60	8598
7	60	7549
8	61	6731
9	61	6076
10	61	5545
11	61	5100
12	62	4721
13	62	4398
14	62	4122
15	63	3882
16	63	3665
17	63	3473
18	64	3305
19	64	3150
20	64	3008
21	64	2881
22	65	2763
23	65	2657
24	65	2557
25	65	2465
26	66	2380
27	66	2301
28	66	2227
29	66	2159
30	67	2095
31	67	2034
32	67	1977
33	67	1924
34	67	1874
35	68	1827
36	68	1782
37	68	1739
38	68	1699
39	69	1662
40	69	1628
41	69	1593
42	70	1564
43	70	1532
44	70	1503
45	71	1475
46	71	1447
47	71	1421
48	71	1396
49	72	1372
50	72	1348
51	72	1325
52	73	1305
53	73	1284
54	73	1264
55	73	1245
56	74	1226
57	74	1208
58	74	1190
59	74	1174
60	75	1157
61	75	1142
62	75	1127
63	76	1112
64	76	1097
65	76	1083
66	76	1069
67	77	1056
68	77	1042
69	77	1029
70	77	1017
71	78	1006
72	78	995
73	78	983
74	78	973
75	79	962
76	79	952
77	79	942
78	80	932
79	80	922
80	80	913
81	80	904
82	80	893
83	81	884
84	81	876
85	81	867
86	81	858
87	82	850
88	82	842
89	82	834
90	82	827
91	83	820
92	83	814
93	83	806
94	84	800
95	84	794
96	84	788
97	85	782
98	85	776
99	85	770
100	85	763
101	86	758
102	86	752
103	86	746
104	86	740
105	87	734
106	87	729
107	87	724
108	87	718
109	88	713
110	88	708
111	88	703
112	88	697
113	89	693
114	89	688
115	89	683
116	89	678
117	90	674
118	90	670
119	90	666
120	91	661
121	91	656
122	91	652
123	91	648
124	92	644
125	92	640
126	92	636
127	92	632
128	93	629
129	93	625
130	93	622
131	94	618
132	94	615
133	94	611
134	94	608
135	95	604
136	95	601
137	95	598
138	96	594
139	96	591
140	96	588
141	96	584
142	97	581
143	97	578
144	97	575
145	97	572
146	98	568
147	98	566
148	98	563
149	98	559
150	99	557
151	99	554
152	99	551
153	99	548
154	100	545
155	100	543
156	100	540
157	100	537
158	101	535
159	101	532
160	101	529
161	101	527
162	102	524
163	102	522
164	102	520
165	103	517
166	103	515
167	103	513
168	103	510
169	104	508
170	104	506
171	104	504
172	105	501
173	105	499
174	105	497
175	105	495
176	106	493
177	106	491
178	106	489
179	106	486
180	107	484
181	107	482
182	107	480
183	108	478
184	108	477
185	108	474
186	108	472
187	109	471
188	109	469
189	109	467
190	109	465
191	110	463
192	110	461
193	110	459
194	110	457
195	111	455
196	111	454
197	111	452
198	111	450
199	112	449
200	112	447
201	112	445
202	113	443
203	113	442
204	113	440
205	113	438
206	114	437
207	114	435
208	114	434
209	114	432
210	115	430
211	115	429
212	115	427
213	116	426
214	116	424
215	116	423
216	117	422
217	117	420
218	117	419
219	117	418
220	118	417
221	118	415
222	118	414
223	119	412
224	119	411
225	119	409
226	119	408
227	120	407
228	120	405
229	120	404
230	121	403
231	121	401
232	121	400
233	121	398
234	122	397
235	122	396
236	122	394
237	122	393
238	123	391
239	123	390
240	123	389
241	124	388
242	124	387
243	124	386
244	124	384
245	125	383
246	125	382
247	125	381
248	126	380
249	126	378
250	126	377
251	126	376
252	127	375
253	127	374
254	127	373
255	127	371
256	128	370
257	128	369
258	128	368
259	129	367
260	129	366
261	129	364
262	129	363
263	130	363
264	130	361
265	130	360
266	131	359
267	131	358
268	131	357
269	131	356
270	132	355
271	132	354
272	132	353
273	132	352
274	133	351
275	133	350
276	133	348
277	133	347
278	134	346
279	134	345
280	134	344
281	134	343
282	135	342
283	135	341
284	135	340
285	136	339
286	136	338
287	136	337
288	136	336
289	137	335
290	137	334
291	137	333
292	137	332
293	138	331
294	138	330
295	138	329
296	138	328
297	139	328
298	139	327
299	139	326
300	140	325
301	140	324
302	140	323
303	140	322
304	141	321
305	141	320
306	141	319
307	141	318
308	142	318
309	142	317
310	142	316
311	143	315
312	143	314
313	143	313
314	143	312
315	144	311
316	144	310
317	144	310
318	144	309
319	145	308
320	145	307
321	145	306
322	145	305
323	146	305
324	146	304
325	146	303
326	147	302
327	147	301
328	147	301
329	147	300
330	148	299
331	148	298
332	148	298
333	149	297
334	149	296
335	149	295
336	149	294
337	150	294
338	150	293
339	150	292
340	151	291
341	151	291
342	151	290
343	151	289
344	152	288
345	152	287
346	152	287
347	152	286
348	153	285
349	153	284
350	153	283
351	153	283
352	154	282
353	154	281
354	154	280
355	154	280
356	155	279
357	155	278
358	155	277
359	155	277
360	156	276
361	156	275
362	156	274
363	156	274
364	157	273
365	157	272
366	157	272
367	157	271
368	158	270
369	158	269
370	158	269
371	159	268
372	159	267
373	159	267
374	159	266
375	160	265
376	160	264
377	160	264
378	160	263
379	161	262
380	161	262
381	161	261
382	161	260
383	162	260
384	162	259
385	162	258
386	162	258
387	163	257
388	163	256
389	163	256
390	164	255
391	164	254
392	164	254
393	164	253
394	165	252
395	165	252
396	165	251
397	165	250
398	166	250
399	166	249
400	166	248
401	166	248
402	167	247
403	167	247
404	167	246
405	167	245
406	168	245
407	168	244
408	168	243
409	169	243
410	169	242
411	169	242
412	169	241
413	170	240
414	170	240
415	170	239
416	170	238
417	171	238
418	171	237
419	171	236
420	171	236
421	172	235
422	172	235
423	172	234
424	173	234
425	173	233
426	173	232
427	173	232
428	174	231
429	174	231
430	174	230
431	174	229
432	175	229
433	175	228
434	175	228
435	175	227
436	176	226
437	176	226
438	176	225
439	176	225
440	177	224
441	177	223
442	177	223
443	177	222
444	178	222
445	178	221
446	178	221
447	178	220
448	179	219
449	179	219
450	179	218
451	180	218
452	180	217
453	180	217
454	180	216
455	181	216
456	181	215
457	181	215
458	181	214
459	182	213
460	182	213
461	182	212
462	183	212
463	183	211
464	183	211
465	183	210
466	184	210
467	184	209
468	184	209
469	184	208
470	185	207
471	185	207
472	185	206
473	185	206
474	186	205
475	186	205
476	186	204
477	186	204
478	187	203
479	187	203
480	187	202
481	188	202
482	188	201
483	188	201
484	188	200
